, Rc (Maximum a Posteriori)
,0.051098878
1,0.044990031
2,0.037648663
4,0.019988363
14,0
16,0
19,0
20,0
21,0
21,0
22,0
22,0
24,0
25,0
30,0
34,0
35,0
35,0
35,0
37,0
39,0
40,0
40,0
43,0
43,0
45,0
48,0
53,0
54,0.309655332
54,0.309655332
59,0.214265868
60,0.166423469
64,0.515178617
71,0.4446743
73,1.447839494
78,1.269863983
83,0.322443606
90,0
90,0
90,0
91,0
93,0
96,0
98,0
98,0
98,0
99,0
100,0
100,0
101,0.067089699
101,0.067089699
101,0.067089699
105,0.156848509
105,0.156848509
105,0.156848509
106,0.121826557
106,0.121826557
108,0.146311055
108,0.146311055
109,0.286667334
109,0.286667334
109,0.286667334
110,0.239889626
111,0.186325821
111,0.186325821
112,0.127361788
112,0.127361788
113,0.064643307
114,5.98E-13
114,5.98E-13
114,5.98E-13
115,0
117,0
118,0
119,0
119,0
120,0
120,0
120,0
121,0
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
124,0.356791655
124,0.356791655
125,0.335583567
127,0.415537077
128,0.395303876
128,0.395303876
128,0.395303876
129,0.361873241
129,0.361873241
129,0.361873241
131,0.326031208
131,0.326031208
135,0.087732667
136,0.120463038
136,0.120463038
136,0.120463038
136,0.120463038
137,0.143003341
138,0.119668389
138,0.119668389
139,0.092948208
139,0.092948208
140,0.063534136
141,0.032247165
141,0.032247165
142,2.98E-13
142,2.98E-13
143,0
143,0
143,0
144,0.022326533
144,0.022326533
144,0.022326533
144,0.022326533
144,0.022326533
145,0.095751099
145,0.095751099
145,0.095751099
145,0.095751099
146,0.074371295
146,0.074371295
147,0.050836009
147,0.050836009
147,0.050836009
147,0.050836009
147,0.050836009
147,0.050836009
148,0.025802148
148,0.025802148
149,2.39E-13
149,2.39E-13
149,2.39E-13
149,2.39E-13
149,2.39E-13
150,0.045551077
151,0.097460881
151,0.097460881
151,0.097460881
151,0.097460881
152,0.075699308
152,0.075699308
152,0.075699308
153,0.051743764
153,0.051743764
153,0.051743764
153,0.051743764
153,0.051743764
154,0.026262885
154,0.026262885
154,0.026262885
155,0.084267937
155,0.084267937
155,0.084267937
155,0.084267937
155,0.084267937
156,0.144188823
157,0.120660427
157,0.120660427
159,0.064060827
159,0.064060827
160,0.032514491
160,0.032514491
162,0
162,0
162,0
163,0
164,0
164,0
165,0
166,0
166,0
168,0.033834326
168,0.033834326
169,0.197099745
169,0.197099745
170,0.173536563
170,0.173536563
172,0.112793956
174,0.468916504
174,0.468916504
175,0.420261078
176,0.335209812
176,0.335209812
176,0.335209812
176,0.335209812
177,0.240528191
178,0.862400916
180,1.154841919
182,0.930057549
183,0.778292924
185,0.413209943
187,0
187,0
188,0
188,0
188,0
189,0
190,0.084540542
190,0.084540542
190,0.084540542
190,0.084540542
193,0.376162385
194,0.397308169
194,0.397308169
195,0.441646034
195,0.441646034
196,0.340704643
198,0.257713764
199,0.27648885
199,0.27648885
202,0.301373826
202,0.301373826
202,0.301373826
202,0.301373826
205,0.083206044
205,0.083206044
206,0.042231771
206,0.042231771
209,0
212,0
213,0
213,0
213,0
214,0
216,0.223705549
216,0.223705549
216,0.223705549
217,0.196961656
220,0.087506966
221,0.044414732
222,4.11E-13
223,0
225,0
226,0
226,0
228,0
228,0
229,0
229,0
230,0
235,0
237,0.250644532
239,0.263282643
239,0.263282643
240,0.493462893
241,0.750989045
243,0.666824544
248,0.185034551
249,0.501044134
252,0.312717507
252,0.312717507
259,0
259,0
260,0
262,0
263,0
265,0
266,0
269,0
272,0
273,0
273,0
273,0
276,0
277,0
278,0.817319329
283,1.182680671
293,0
295,0.248929582
295,0.248929582
296,0.278139687
298,0.649697152
306,0.211606105
307,0.14464196
307,0.14464196
308,0.073413971
310,0
311,0
316,0
318,0
319,0
324,0
331,0
334,0.664021945
344,0.222862658
345,0.113115397
350,0
353,0
361,0
361,0
364,0.28087342
365,0.341462464
365.9972678,0.321549162
371.9808743,0.056114953
374.9726776,0
379.9590164,0
383.9480874,0
384.9453552,0
386.9398907,0
387.9371585,0
394.9180328,0
395.9153005,0
396.9125683,0
404.8907104,0
419.8497268,0
421.8442623,0
422.8415301,0
424.8360656,0
424.8360656,0
427.8278689,0.227156767
438.7978142,0.493134029
441.7896175,0.279709204
445.7786885,0
447.773224,0
454.7540984,0
457.7459016,0
458.7431694,0
459.7404372,0.304019691
460.7377049,0.286289965
461.7349727,0.261414271
464.726776,0.148276074
468.715847,0
474.6994536,0
474.6994536,0
474.6994536,0
475.6967213,0
476.6939891,0
476.6939891,0
477.6912568,0
477.6912568,0
477.6912568,0
478.6885246,0
479.6857924,0
479.6857924,0
479.6857924,0
479.6857924,0
481.6803279,0
482.6775956,0
482.6775956,0
482.6775956,0
483.6748634,0
485.6693989,0
485.6693989,0
485.6693989,0
486.6666667,0
489.6584699,0
490.6557377,0
492.6502732,0
494.6448087,0
494.6448087,0
495.6420765,0
498.6338798,0
499.6311475,0.135184038
499.6311475,0.135184038
499.6311475,0.135184038
499.6311475,0.135184038
500.6284153,0.468567702
503.6202186,0.550355629
504.6174863,0.597808714
504.6174863,0.597808714
506.6120219,0.761944871
507.6092896,0.601118748
507.6092896,0.601118748
508.6065574,0.508845095
509.6038251,0.423570091
510.6010929,0.295650074
510.6010929,0.295650074
511.5983607,0.16076627
511.5983607,0.16076627
511.5983607,0.16076627
512.5956284,0.061051154
512.5956284,0.061051154
512.5956284,0.061051154
512.5956284,0.061051154
513.5928962,0.270577845
515.5874317,0.1927502
516.5846995,0.160858197
516.5846995,0.160858197
516.5846995,0.160858197
518.579235,0.337588075
521.5710383,0.169503731
523.5655738,0.08895655
523.5655738,0.08895655
523.5655738,0.08895655
523.5655738,0.08895655
523.5655738,0.08895655
524.5628415,0.044181588
524.5628415,0.044181588
524.5628415,0.044181588
526.557377,0
526.557377,0
526.557377,0
527.5546448,0
527.5546448,0
527.5546448,0
527.5546448,0
529.5491803,0
529.5491803,0
530.5464481,0
531.5437158,0
531.5437158,0
532.5409836,0
532.5409836,0
535.5327869,0
535.5327869,0
535.5327869,0
536.5300546,0
536.5300546,0
536.5300546,0
536.5300546,0
537.5273224,0
537.5273224,0
537.5273224,0
538.5245902,0
539.5218579,0
540.5191257,0.13112334
540.5191257,0.13112334
540.5191257,0.13112334
544.5081967,0.158817204
544.5081967,0.158817204
545.5054645,0.122855141
546.5027322,0.083348198
547.5,0.041396117
547.5,0.041396117
548.4972678,0.118987513
548.4972678,0.118987513
549.4945355,0.366257009
554.4808743,0.223148501
555.4781421,0.172619464
563.4562842,0
563.4562842,0
565.4508197,0
569.4398907,0
569.4398907,0
570.4371585,0
573.4289617,0
575.4234973,0
577.4180328,0.405513803
578.4153005,0.594486197
591.3797814,0
593.3743169,0
601.352459,0.206147078
601.352459,0.206147078
604.3442623,0.395038298
609.3306011,0.192667546
622.295082,0
623.2923497,0
627.2814208,0
628.2786885,0
629.2759563,0
630.273224,0
632.2677596,0
634.2622951,0
635.2595628,0
640.2459016,0
643.2377049,0
654.2076503,0
659.1939891,0
665.1775956,0
666.1748634,0.2644864
668.1693989,0.302551897
669.1666667,0.276263206
672.1584699,0.156698498
682.1311475,0
686.1202186,0
686.1202186,0
687.1174863,0
690.1092896,0
692.1038251,0
693.1010929,0
696.0928962,0
697.0901639,0
699.0846995,0
699.0846995,0
703.0737705,0
705.068306,0
706.0655738,0
708.0601093,0
712.0491803,0
712.0491803,0
713.0464481,0
717.0355191,0
722.0218579,0
727.0081967,0
728.0054645,0
728.0054645,0
741,0
757,0
773,0
774,0
777,0
786,1
809,0
812,0
814,0
814,0
815,0
817,0
817,0
818,0
821,0
822,0
823,0
824,0
824,0
827,0
828,0
828,0
831,0
839,0
839,0
840,0
844,0
854,0
857,0
859,0
861,0
869,0.005444215
869,0.005444215
870,1.143775294
870,1.143775294
871,1.712600316
872,2.211449723
879,1.074824122
884,0.330974344
885,0.185856239
885,0.185856239
888,0
892,0
892,0
893,0
893,0
893,0
893,0
894,0
897,0
899,0
900,0
903,0
908,0
908,0
910,0
911,0
915,0
915,0
916,0
921,0
928,0
930,0
934,0
942,0
945,0
949,0
955,0
959,0
959,0
960,0
960,0
962,0
966,0
970,0
973,0
977,0
980,0
988,0
992,0
1000,0
1001,0
1012,0
1014,0
1019,0
1032,0
1036,0
1037,0
1043,0
1047,0
1053,0
1054,0
1060,0
1069,0
1069,0
1073,0
1084,0
1086,0
1090,0
1104,0
1104,0
1124,0
1125,0
1132,0
1135,0
1135,0
1139,0
1144,0
1178,0
1178,0
1184,0
1186,0
1189,0
1194,0
1197,0
1200,0
1200,0
1202,0
1204,0
1205,0
1208,0
1208,0
1208,0
1209,0
1210,0
1210,0
1214,0
1214,0
1217,0
1218,0
1220,0
1223,0
1223,0
1224,0
1224,0
1224,0
1225,0
1225,0
1228,0
1229,0
1230,0
1234,0
1238,0
1239,0.209401124
1239,0.209401124
1239,0.209401124
1252,0.371796628
1256,0.392174802
1258,0.531239977
1260,0.410864812
1261,0.332860204
1261,0.332860204
1265,0.231503544
1265,0.231503544
1266,0.21414701
1268,0.157779365
1269,0.122549567
1271,0.04251697
1272,3.93E-13
1273,0
1279,0
1280,0
1285,0
1287,0
1288,0
1288,0
1294,0
1295,0
1303,0
1306,0
1312,0
1315,0
1317,0
1317,0
1324,0
1326,0
1333,0
1335,0
1351,0
1363,0
1371,0
1380,0.159708995
1398,0.701094896
1403,0.139196109
1414,0
1416,0
1419,0
1420,0
1421,0
1426,0
1431,0
1432,0
1432,0
1434,0
1434,0
1436,0
1438,0
1442,0
1452,0
1454,0
1455,0
1477,0
1477,0
1477,0
1482,0
1483,0
1512,0
1530,0.434947383
1534,0.359386868
1537,0.205665749
1555,0
1556,0
1556,0
1559,0
1559,0
1559,0
1560,0
1561,0
1566,0
1569,0
1572,0
1575,0
1575,0
1576,0
1576,0
1576,0
1577,0
1578,0
1581,0
1581,0
1581,0
1582,0
1583,0
1583,0
1584,0
1585,0
1585,0
1586,0
1587,0
1588,0
1589,0
1591,0
1593,0
1594,0
1595,0
1599,0
1599,0
1603,0
1607,0
1607,0
1608,0
1611,0
1614,0
1615,0
1616,0
1617,0
1618,0
1624,0.347167921
1624,0.347167921
1625,0.305664159
1631,0
1633,0
1637,0
1645,0
1646,0
1648,0
1653,0
1658,0
1660,0
1663,0
1664,0
1711,0
1722,0
1730,0
1737,0
1740,0
1740,0
1762,0
1768,0
1773,0
1830.983607,0
1830.983607,0
1836.967213,0
1842.95082,0
1847.937158,0
1873.86612,0
1875.860656,0
1881.844262,0
1882.84153,0
1884.836066,0
1885.833333,0
1886.830601,0
1891.81694,0
1893.811475,0
1894.808743,0
1909.76776,0
1913.756831,0
1914.754098,0
1930.710383,0
1930.710383,0
1931.70765,0
1940.68306,0
1947.663934,0
1948.661202,0
1949.65847,0
1950.655738,0
1951.653005,0
1952.650273,0
1977.581967,0
1981.571038,0
1987.554645,0
1990.546448,0
1999.521858,0
2017.472678,0
2033.428962,0
2056.36612,0
2071.325137,0
2091.270492,0
2112.213115,0
2125.177596,0
2137.144809,0
2142.131148,0
2178.032787,0
2180.027322,0
2185.013661,0
